"","X","Country","code","infect","nofood","cancer","pop","gdppc","cancerpop","infectpop","nofoodpop","cancer.r.val","infect.r.value","nofood.r.value","gdppcc","infectpopc","cancerpopc","nofoodpopc"
"1",1,"Afghanistan",4,43.65529028,0.79384843,16.19882803,29185.511,550.8871591,0.00055503,0.001495786,2.72e-05,0.523993465,-0.373706146,-0.325812741,"Low","Medium","Medium","Medium"
"2",2,"Albania",8,0.14145453,0.00754169,4.699676646,2948.029,4045.744651,0.001594176,4.8e-05,2.56e-06,NA,NA,NA,"MediumHigh","Low","Medium","Low"
"3",3,"Algeria",12,6.72941284,0.159137581,20.54767929,35977.451,4480.786786,0.000571127,0.000187045,4.42e-06,NA,NA,NA,"MediumHigh","Medium","Medium","Low"
"4",4,"Angola",24,85.04656442,9.056091632,7.041462822,23356.247,3587.883041,0.000301481,0.003641277,0.000387737,NA,NA,NA,"MediumLow","High","Low","High"
"5",5,"Antigua and Barbuda",28,0.027313457,0.004668586,0.1018924,88.03,13049.25705,0.001157474,0.000310274,5.3e-05,NA,NA,NA,"High","Medium","Medium","Medium"
"6",6,"Argentina",32,14.83911611,1.71216651,63.8853672,40895.751,10428.6488,0.001562152,0.000362852,4.19e-05,NA,NA,NA,"MediumHigh","Medium","Medium","Medium"
"7",7,"Armenia",51,0.457337193,0.003183478,7.769158883,2877.314,3432.145612,0.002700143,0.000158946,1.11e-06,NA,NA,NA,"MediumLow","Medium","High","Low"
"8",8,"Australia",36,1.95182524,0.2348809,42.50794313,22154.687,58654.11439,0.001918688,8.81e-05,1.06e-05,NA,NA,NA,"High","Low","High","Medium"
"9",9,"Austria",40,0.430712492,0.044374823,20.30779425,8409.945,46598.70667,0.002414736,5.12e-05,5.28e-06,NA,NA,NA,"High","Low","High","Low"
"10",10,"Azerbaijan",31,1.718563453,0.040338346,8.904070573,9032.465,5857.318274,0.000985785,0.000190265,4.47e-06,NA,NA,NA,"MediumHigh","Medium","Medium","Low"
"11",11,"Bahamas",44,0.216258339,0.004023514,0.395413857,354.936,28443.52035,0.001114043,0.000609288,1.13e-05,NA,NA,NA,"High","Medium","Medium","Medium"
"12",12,"Bahrain",48,0.052947295,0.004787619,0.362697371,1240.864,20722.13729,0.000292294,4.27e-05,3.86e-06,NA,NA,NA,"High","Low","Low","Low"
"13",13,"Bangladesh",50,156.9325563,10.32976751,87.63094699,147575.433,775.9272509,0.000593804,0.001063406,7e-05,NA,NA,NA,"Low","Medium","Medium","Medium"
"14",14,"Barbados",52,0.089051213,0.015214429,0.710100538,282.131,16056.11685,0.002516918,0.000315638,5.39e-05,NA,NA,NA,"High","Medium","High","Medium"
"15",15,"Belarus",112,2.051196375,0.020889321,20.29202738,9420.576,6075.203686,0.002154011,0.000217736,2.22e-06,NA,NA,NA,"MediumHigh","Medium","High","Low"
"16",16,"Belgium",56,2.005168721,0.335130566,28.74897048,10938.735,43967.73975,0.002628181,0.000183309,3.06e-05,NA,NA,NA,"High","Medium","High","Medium"
"17",17,"Belize",84,0.124949772,0.011060859,0.240776434,322.465,4270.799647,0.000746675,0.000387483,3.43e-05,NA,NA,NA,"MediumHigh","Medium","Medium","Medium"
"18",18,"Benin",204,26.08453758,3.213996194,3.16311997,9199.254,757.6974108,0.000343845,0.002835506,0.000349376,NA,NA,NA,"Low","High","Low","High"
"19",19,"Bhutan",64,0.554707945,0.016248815,0.383247644,685.502,2312.848035,0.000559076,0.0008092,2.37e-05,NA,NA,NA,"MediumLow","Medium","Medium","Medium"
"20",20,"Bosnia and Herzegovina",70,0.284250275,0.008037124,6.617127063,3705.478,4635.393495,0.001785769,7.67e-05,2.17e-06,NA,NA,NA,"MediumHigh","Low","High","Low"
"21",21,"Botswana",72,7.232992954,0.101873432,0.913342383,1987.106,6434.7945,0.000459634,0.003639963,5.13e-05,NA,NA,NA,"MediumHigh","High","Low","Medium"
"22",22,"Brazil",76,55.22437048,10.92662359,202.0586024,195713.637,11286.07166,0.00103242,0.000282169,5.58e-05,NA,NA,NA,"MediumHigh","Medium","Medium","Medium"
"23",23,"Brunei Darussalam",96,0.031851793,0.001029719,0.291960506,388.634,35268.89835,0.000751248,8.2e-05,2.65e-06,NA,NA,NA,"High","Low","Medium","Low"
"24",24,"Bulgaria",100,0.662203778,0.045938199,16.98708454,7425.011,6782.963385,0.002287819,8.92e-05,6.19e-06,NA,NA,NA,"MediumHigh","Low","High","Low"
"25",25,"Burkina Faso",854,67.90635071,4.199954173,5.852207298,15605.211,647.2067833,0.000375016,0.004351518,0.000269138,NA,NA,NA,"Low","High","Low","High"
"26",26,"Burundi",108,29.37077752,4.040966435,5.30444399,8675.606,234.2359215,0.000611421,0.003385444,0.000465785,NA,NA,NA,"Low","High","Medium","High"
"27",27,"Cambodia",116,14.00956063,0.561513556,10.86206038,14312.205,785.5025358,0.000758937,0.000978854,3.92e-05,NA,NA,NA,"Low","Medium","Medium","Medium"
"28",28,"Cameroon",120,81.57256015,4.529247489,9.668829285,20341.236,1285.258493,0.000475331,0.004010207,0.000222663,NA,NA,NA,"MediumLow","High","Low","High"
"29",29,"Canada",124,4.895465424,0.537837321,72.47740954,34147.566,47361.08742,0.002122477,0.000143362,1.58e-05,NA,NA,NA,"High","Medium","High","Medium"
"30",30,"Central African Republic",140,29.43902634,2.053700561,2.139020631,4386.765,463.6246804,0.000487608,0.006710874,0.000468158,NA,NA,NA,"Low","High","Low","High"
"31",31,"Chad",148,53.86560011,4.775807815,4.448213457,11952.134,917.8801245,0.000372169,0.004506777,0.000399578,NA,NA,NA,"Low","High","Low","High"
"32",32,"Chile",152,2.133469858,0.769497865,24.25277138,17062.531,12808.03542,0.001421405,0.000125038,4.51e-05,NA,NA,NA,"High","Low","Medium","Medium"
"33",33,"Colombia",170,9.414480741,2.577656718,45.81148168,45222.699,6326.549349,0.00101302,0.00020818,5.7e-05,NA,NA,NA,"MediumHigh","Medium","Medium","Medium"
"34",34,"Comoros",174,1.196298947,0.209550713,0.392000931,689.696,1315.216002,0.000568368,0.001734531,0.000303831,NA,NA,NA,"MediumLow","High","Medium","High"
"35",35,"Congo",178,12.91376069,1.267738387,1.525326177,4273.738,3200.484988,0.000356907,0.003021655,0.000296635,NA,NA,NA,"MediumLow","High","Low","High"
"36",36,"Costa Rica",188,0.480337382,0.043249996,4.972503502,4577.371,8141.917761,0.001086323,0.000104937,9.45e-06,NA,NA,NA,"MediumHigh","Low","Medium","Medium"
"37",37,"Croatia",191,0.34519317,0.015689268,13.59026009,4328.163,13818.29131,0.00313996,7.98e-05,3.62e-06,NA,NA,NA,"High","Low","High","Low"
"38",38,"Cuba",192,0.905446395,0.089232799,22.4598256,11225.833,5730.354775,0.002000727,8.07e-05,7.95e-06,NA,NA,NA,"MediumHigh","Low","High","Medium"
"39",39,"Cyprus",196,0.092330597,0.023199935,1.697103425,1112.617,30993.07091,0.001525326,8.3e-05,2.09e-05,NA,NA,NA,"High","Low","Medium","Medium"
"40",40,"Democratic Republic of the Congo",180,277.3361774,28.98013393,31.21782178,64563.853,334.0219824,0.000483519,0.004295533,0.00044886,NA,NA,NA,"Low","High","Low","High"
"41",41,"Denmark",208,0.910438509,0.183386411,16.43777384,5554.849,57966.58742,0.002959176,0.0001639,3.3e-05,NA,NA,NA,"High","Medium","High","Medium"
"42",42,"Djibouti",262,2.136849356,0.270085493,0.460106465,840.194,1480.188842,0.000547619,0.002543281,0.000321456,NA,NA,NA,"MediumLow","High","Medium","High"
"43",43,"Dominican Republic",214,6.465411193,0.248842694,8.752517025,9695.117,5483.125956,0.000902776,0.000666873,2.57e-05,NA,NA,NA,"MediumHigh","Medium","Medium","Medium"
"44",44,"Ecuador",218,3.491021885,0.930002585,12.42357308,15011.114,4633.590358,0.000827625,0.000232562,6.2e-05,NA,NA,NA,"MediumHigh","Medium","Medium","Medium"
"45",45,"Egypt",818,13.06843069,1.285735844,70.82370317,82761.244,2593.368405,0.000855759,0.000157905,1.55e-05,NA,NA,NA,"MediumLow","Medium","Medium","Medium"
"46",46,"El Salvador",222,1.329695125,0.342888136,5.735606412,6183.877,2983.230165,0.00092751,0.000215026,5.54e-05,NA,NA,NA,"MediumLow","Medium","Medium","Medium"
"47",47,"Equatorial Guinea",226,3.004760928,0.316699454,0.417683412,943.64,17272.0026,0.00044263,0.003184224,0.000335615,NA,NA,NA,"High","High","Low","High"
"48",48,"Eritrea",232,7.956166639,1.382507391,2.220261109,3170.437,667.7441773,0.000700301,0.002509486,0.000436062,NA,NA,NA,"Low","High","Medium","High"
"49",49,"Estonia",233,0.134363631,0.006108383,3.60636106,1332.103,14786.24228,0.002707269,0.000100866,4.59e-06,NA,NA,NA,"High","Low","High","Low"
"50",50,"Ethiopia",231,218.3753467,21.88388492,41.81606384,87639.962,300.2203105,0.000477135,0.002491733,0.000249702,NA,NA,NA,"Low","High","Low","High"
"51",51,"Fiji",242,0.241387125,0.031174203,0.546999828,859.816,3652.549099,0.000636182,0.000280743,3.63e-05,NA,NA,NA,"MediumLow","Medium","Medium","Medium"
"52",52,"Finland",246,0.424566011,0.020120244,11.61214519,5365.784,46438.93294,0.00216411,7.91e-05,3.75e-06,NA,NA,NA,"High","Low","High","Low"
"53",53,"France",250,9.841480601,4.097859149,166.1760095,62879.535,40685.26118,0.002642768,0.000156513,6.52e-05,NA,NA,NA,"High","Medium","High","Medium"
"54",54,"Gabon",266,6.004075296,0.340598536,0.685450522,1624.146,8840.759423,0.000422038,0.003696758,0.000209709,NA,NA,NA,"MediumHigh","High","Low","High"
"55",55,"Gambia",270,4.084142053,0.492082104,0.483497371,1793.199,860.6392972,0.000269628,0.002277573,0.000274416,NA,NA,NA,"Low","High","Low","High"
"56",56,"Georgia",268,0.633204161,0.005383811,6.738474189,4099.096,2986.80322,0.001643893,0.000154474,1.31e-06,NA,NA,NA,"MediumLow","Medium","Medium","Low"
"57",57,"Germany",276,13.29113338,1.135996582,225.8160569,80827.001,42020.0427,0.00279382,0.000164439,1.41e-05,NA,NA,NA,"High","Medium","High","Medium"
"58",58,"Ghana",288,69.81663579,3.936592432,10.07736839,24779.614,1718.647038,0.00040668,0.002817503,0.000158864,NA,NA,NA,"MediumLow","High","Low","High"
"59",59,"Greece",300,1.108972822,0.007675701,29.54347771,10887.64,27495.55083,0.002713488,0.000101856,7.05e-07,NA,NA,NA,"High","Low","High","Low"
"60",60,"Grenada",308,0.018416719,0.005094556,0.158152774,106.227,7257.771265,0.001488819,0.000173371,4.8e-05,NA,NA,NA,"MediumHigh","Medium","Medium","Medium"
"61",61,"Guatemala",320,5.375540823,3.052476075,7.920639238,14630.42,2825.494227,0.000541382,0.000367422,0.000208639,NA,NA,NA,"MediumLow","Medium","Low","High"
"62",62,"Guinea",324,38.76945196,2.461582335,4.11232444,10192.168,672.4244016,0.000403479,0.003803847,0.000241517,NA,NA,NA,"Low","High","Low","High"
"63",63,"Guinea-Bissau",624,6.15700874,0.242202965,0.6345516,1522.603,557.6321083,0.000416754,0.004043739,0.000159072,NA,NA,NA,"Low","High","Low","High"
"64",64,"Guyana",328,0.615254624,0.083276517,0.483331681,749.43,3014.654092,0.000644932,0.000820963,0.00011112,NA,NA,NA,"MediumLow","Medium","Medium","Medium"
"65",65,"Haiti",332,15.70333924,1.49219823,5.824237042,9949.318,674.1945004,0.000585391,0.001578333,0.00014998,NA,NA,NA,"Low","Medium","Medium","High"
"66",66,"Honduras",340,2.97449972,0.293594541,4.446152247,8317.467,1904.346465,0.000534556,0.000357621,3.53e-05,NA,NA,NA,"MediumLow","Medium","Low","Medium"
"67",67,"Hungary",348,0.586546591,0.107843023,32.44143419,9927.38,13209.4967,0.003267875,5.91e-05,1.09e-05,NA,NA,NA,"High","Low","High","Medium"
"68",68,"Iceland",352,0.014397583,0.003011793,0.576445755,320.342,42717.74459,0.00179947,4.49e-05,9.4e-06,NA,NA,NA,"High","Low","High","Medium"
"69",69,"India",356,1517.383745,81.76963667,683.7525009,1234281.163,1352.706184,0.000553968,0.001229366,6.62e-05,NA,NA,NA,"MediumLow","Medium","Medium","Medium"
"70",70,"Indonesia",360,266.497124,17.89808163,186.4821912,241834.226,3122.362804,0.000771116,0.001101983,7.4e-05,NA,NA,NA,"MediumLow","Medium","Medium","Medium"
"71",71,"Iraq",368,6.496359289,0.289883485,17.78743538,29741.977,4657.280426,0.000598058,0.000218424,9.75e-06,NA,NA,NA,"MediumHigh","Medium","Medium","Medium"
"72",72,"Ireland",372,0.238866651,0.031046232,7.996758529,4554.33,48777.58096,0.001755858,5.24e-05,6.82e-06,NA,NA,NA,"High","Low","High","Low"
"73",73,"Israel",376,1.003247129,0.178799203,10.96473338,7346.446,31851.54806,0.001492522,0.000136562,2.43e-05,NA,NA,NA,"High","Medium","Medium","Medium"
"74",74,"Italy",380,7.263363889,1.668353701,169.3949903,59325.232,35971.50621,0.002855362,0.000122433,2.81e-05,NA,NA,NA,"High","Low","High","Medium"
"75",75,"Jamaica",388,1.24172177,0.084936293,3.626392187,2810.464,4704.050492,0.001290318,0.000441821,3.02e-05,NA,NA,NA,"MediumHigh","Medium","Medium","Medium"
"76",76,"Japan",392,20.62522594,2.898212254,367.5091178,128542.349,44344.12458,0.002859051,0.000160455,2.25e-05,NA,NA,NA,"High","Medium","High","Medium"
"77",77,"Jordan",400,0.444850026,0.027654256,3.596332872,7261.541,3652.065081,0.000495258,6.13e-05,3.81e-06,NA,NA,NA,"MediumLow","Low","Low","Low"
"78",78,"Kazakhstan",398,3.63143815,0.098334588,27.11905764,16252.273,9109.328497,0.001668632,0.000223442,6.05e-06,NA,NA,NA,"MediumHigh","Medium","Medium","Low"
"79",79,"Kenya",404,149.9306997,6.218037804,21.4650491,42030.684,951.6781896,0.000510699,0.003567172,0.00014794,NA,NA,NA,"Low","High","Low","High"
"80",80,"Kiribati",296,0.093075498,0.015238315,0.062147949,102.93,1516.861073,0.000603788,0.00090426,0.000148045,NA,NA,NA,"MediumLow","Medium","Medium","High"
"81",81,"Kuwait",414,0.173978372,0.005046022,1.038777079,2991.884,38576.3778,0.000347198,5.82e-05,1.69e-06,NA,NA,NA,"High","Low","Low","Low"
"82",82,"Kyrgyzstan",417,1.113376916,0.024056763,3.308517741,5422.298,884.1945319,0.000610169,0.000205333,4.44e-06,NA,NA,NA,"Low","Medium","Medium","Low"
"83",83,"Lao People's Democratic Republic",418,9.027252718,0.365454627,4.677613064,6249.168,1170.308459,0.000748518,0.001444553,5.85e-05,NA,NA,NA,"MediumLow","Medium","Medium","Medium"
