"","X6","X12","X66","X73"
"...2","GHE code","20","540","610"
"...3",NA,NA,NA,NA
"World Health Organization","GHE cause","A.","E.","A."
"...5",NA,"Infectious and parasitic diseases","Nutritional deficiencies","Malignant neoplasms"
"...6",NA,NA,NA,NA
"...7","Member State
(See Notes for explanation of colour codes)",NA,NA,NA
"...8","Afghanistan","43.655290279900001","0.79384842973900005","16.198828034000002"
"...9","Albania","0.141454529828","0.0075416897620000003","4.6996766456900003"
"...10","Algeria","6.7294128402900002","0.15913758098799999","20.5476792899"
"...11","Angola","85.046564421699998","9.0560916322399994","7.0414628219599997"
"...12","Antigua and Barbuda","0.027313457126000001","0.0046685864479999997","0.101892400494"
"...13","Argentina","14.839116111999999","1.7121665097100001","63.885367200499999"
"...14","Armenia","0.45733719300600001","0.0031834778570000001","7.7691588829100002"
"...15","Australia","1.95182524023","0.234880899802","42.507943126100002"
"...16","Austria","0.43071249212099999","0.044374823110000003","20.307794251400001"
"...17","Azerbaijan","1.7185634528","0.040338346490000003","8.9040705726400002"
"...18","Bahamas","0.21625833890599999","0.0040235138409999999","0.39541385683399999"
"...19","Bahrain","0.052947295007000003","0.0047876186880000003","0.36269737102100003"
"...20","Bangladesh","156.93255629199999","10.3297675052","87.630946990400005"
"...21","Barbados","0.089051213089999998","0.015214429309000001","0.71010053774899995"
"...22","Belarus","2.0511963747699999","0.020889320699","20.292027376899998"
"...23","Belgium","2.00516872069","0.33513056643400002","28.748970480600001"
"...24","Belize","0.124949771882","0.011060858616000001","0.24077643412499999"
"...25","Benin","26.084537584700001","3.2139961938999999","3.1631199703799999"
"...26","Bhutan","0.55470794518400002","0.016248815382000001","0.38324764447100002"
"...27","Bolivia (Plurinational State of)","5.1974009112099999","1.2268591440300001","6.6259588126800004"
"...28","Bosnia and Herzegovina","0.28425027493999999","0.0080371239010000005","6.6171270632499999"
"...29","Botswana","7.2329929538300002","0.101873431631","0.91334238329499995"
"...30","Brazil","55.224370476200001","10.9266235935","202.058602407"
"...31","Brunei Darussalam","0.031851792624000001","0.0010297187970000001","0.29196050631600001"
"...32","Bulgaria","0.662203778144","0.045938199020999999","16.987084535299999"
"...33","Burkina Faso","67.906350714400006","4.19995417275","5.8522072977099997"
"...34","Burundi","29.370777517800001","4.0409664347399996","5.3044439902200002"
"...35","Cambodia","14.0095606337","0.56151355582700002","10.862060378500001"
"...36","Cameroon","81.572560144999997","4.5292474893700003","9.6688292848799993"
"...37","Canada","4.8954654239900002","0.53783732121899996","72.477409536300001"
"...38","Cape Verde","0.24717168788300001","0.010290971862","0.27880400651600001"
"...39","Central African Republic","29.439026335400001","2.0537005609099999","2.1390206311400002"
"...40","Chad","53.865600110899997","4.7758078152300003","4.4482134572199996"
"...41","Chile","2.1334698579600002","0.76949786504100004","24.2527713783"
"...42","China","164.510021403","12.8169732051","2186.08766879"
"...43","Colombia","9.4144807407000002","2.5776567178000001","45.811481684599997"
"...44","Comoros","1.19629894671","0.20955071348099999","0.39200093095299998"
"...45","Congo","12.9137606911","1.2677383873600001","1.5253261767599999"
"...46","Costa Rica","0.48033738180000002","0.043249995574999998","4.9725035015400003"
"...47","Côte d'Ivoire","89.443872024699999","4.3628566937600004","8.6030634961499999"
"...48","Croatia","0.34519316951000001","0.015689267730000001","13.590260092099999"
"...49","Cuba","0.90544639452099995","0.089232799350000003","22.4598256001"
"...50","Cyprus","0.092330597129000005","0.023199935134","1.6971034252999999"
"...51","Czechia","0.89974536657899995","0.080288242854000005","28.2927416078"
"...52","Democratic People's Republic of Korea","22.664819474000002","0.35778541582599999","37.6407141571"
"...53","Democratic Republic of the Congo","277.33617739900001","28.980133927800001","31.2178217829"
"...54","Denmark","0.91043850874200005","0.18338641123400001","16.437773838999998"
"...55","Djibouti","2.1368493557999999","0.27008549319000003","0.46010646488099999"
"...56","Dominican Republic","6.4654111929500004","0.24884269419400001","8.7525170245399995"
"...57","Ecuador","3.4910218846299998","0.93000258468999997","12.423573083599999"
"...58","Egypt","13.068430691","1.28573584393","70.823703167900007"
"...59","El Salvador","1.32969512516","0.34288813572499999","5.7356064118000001"
"...60","Equatorial Guinea","3.0047609280000001","0.31669945434899999","0.41768341228599998"
"...61","Eritrea","7.9561666392900001","1.3825073912600001","2.22026110947"
"...62","Estonia","0.134363630668","0.0061083831490000001","3.6063610604399998"
"...63","Ethiopia","218.37534674","21.883884916","41.8160638433"
"...64","Fiji","0.241387124615","0.031174202920000001","0.54699982809799996"
"...65","Finland","0.42456601074400002","0.020120244410000002","11.612145185899999"
"...66","France","9.8414806013699998","4.0978591486399996","166.17600947400001"
"...67","Gabon","6.0040752955599999","0.34059853611699997","0.68545052235399995"
"...68","Gambia","4.0841420530399999","0.49208210415800002","0.48349737066300003"
"...69","Georgia","0.63320416092200005","0.0053838111970000001","6.7384741885099997"
"...70","Germany","13.2911333797","1.13599658236","225.81605690699999"
"...71","Ghana","69.816635794099994","3.9365924318299998","10.0773683855"
"...72","Greece","1.1089728216600001","0.0076757010109999996","29.5434777107"
"...73","Grenada","0.018416719123999999","0.0050945561609999999","0.15815277380000001"
"...74","Guatemala","5.3755408233999997","3.05247607525","7.9206392380599997"
"...75","Guinea","38.769451959400001","2.4615823354800002","4.1123244403500001"
"...76","Guinea-Bissau","6.1570087404100002","0.24220296455699999","0.634551600376"
"...77","Guyana","0.61525462360700001","0.083276516795999997","0.48333168074600003"
"...78","Haiti","15.7033392386","1.4921982304000001","5.82423704154"
"...79","Honduras","2.9744997196499998","0.29359454115","4.4461522470599997"
"...80","Hungary","0.58654659139099996","0.107843022788","32.441434188300001"
"...81","Iceland","0.014397582759000001","0.0030117929750000001","0.57644575476000004"
"...82","India","1517.3837451899999","81.769636672999994","683.75250085200003"
"...83","Indonesia","266.49712395300003","17.898081626300002","186.48219119300001"
"...84","Iran (Islamic Republic of)","8.5477172300100008","0.31909038239199999","50.118031877699998"
"...85","Iraq","6.4963592886299999","0.28988348528000002","17.787435376400001"
"...86","Ireland","0.23886665111200001","0.031046232483000001","7.9967585293200001"
"...87","Israel","1.0032471291","0.17879920311","10.9647333772"
"...88","Italy","7.2633638887999998","1.6683537014100001","169.39499028700001"
"...89","Jamaica","1.2417217703900001","0.08493629255","3.62639218679"
"...90","Japan","20.625225941899998","2.8982122535600001","367.50911782899999"
"...91","Jordan","0.44485002622300002","0.027654256467999998","3.59633287159"
"...92","Kazakhstan","3.6314381497300001","0.098334587811000004","27.1190576441"
"...93","Kenya","149.930699742","6.2180378040299997","21.465049101999998"
"...94","Kiribati","0.093075497977000002","0.015238315073000001","0.062147949095000002"
"...95","Kuwait","0.17397837194900001","0.0050460222670000001","1.0387770787399999"
"...96","Kyrgyzstan","1.11337691552","0.024056763227","3.3085177407200002"
"...97","Lao People's Democratic Republic","9.0272527182999998","0.36545462712100002","4.67761306366"
"...98","Latvia","0.24768593225900001","0.024152203056","6.3072072626800004"
"...99","Lebanon","0.32362026051800002","0.014247340722","4.4599071171900002"
"...100","Lesotho","12.030883658800001","0.261880245204","1.2427882239300001"
"...101","Liberia","15.1005797116","0.51785620192199999","1.5359931470999999"
"...102","Libya","0.65847511316399998","0.02488374833","3.3527280081200002"
"...103","Lithuania","0.49348036175299997","0.010726561347000001","8.2482091988799997"
"...104","Luxembourg","0.074193448952000002","0.013483881942","1.0552183137"
"...105","Madagascar","36.197631848500002","7.5245123213499996","12.3970067626"
"...106","Malawi","72.557586943199993","3.7972867408900002","10.2051258551"
"...107","Malaysia","12.0317339517","0.082633644630000003","20.088815852500002"
"...108","Maldives","0.031592132302000003","0.0058616703430000002","0.190445117474"
"...109","Mali","63.118839494900001","8.0984238310799999","6.7330395541100003"
"...110","Malta","0.012891384121999999","0.002357710181","0.85966101695300001"
"...111","Mauritania","8.7983467051899993","0.64217122258199999","1.28848833974"
"...112","Mauritius","0.25894180217599999","0.070165536781999993","1.0448781889300001"
"...113","Mexico","17.371136063600002","12.203468834100001","70.516720476800003"
"...114","Micronesia (Federated States of)","0.049960940108999999","0.0049197286200000001","0.070048180976000005"
"...115","Mongolia","0.89061802482200003","0.012325084597","3.3299254978000001"
"...116","Montenegro","0.01316054264","0.001013675906","1.3644667961500001"
"...117","Morocco","8.1287722366599997","0.42624521708899998","21.931681137199998"
"...118","Mozambique","139.680573904","4.0176060313399997","17.9273607029"
"...119","Myanmar","78.490870618900004","2.9021347633699999","48.1048542224"
"...120","Namibia","6.6559697901000003","0.24421530283099999","0.86429550075299999"
"...121","Nepal","29.967738332700002","0.91955609730900001","14.3764609056"
"...122","Netherlands","1.63844712875","0.38181596669200002","43.957969375799998"
"...123","New Zealand","0.245178851319","0.029238485714999998","8.4927451462699999"
"...124","Nicaragua","1.38387072232","0.208763416506","3.40876835723"
"...125","Niger","67.711400314100004","7.3216674214299999","4.3444103378800003"
"...126","Nigeria","764.52873382400003","50.065405809600001","68.730038299"
"...127","Norway","0.82136777200900002","0.074311151919999999","11.5389234689"
"...128","Oman","0.278993430988","0.032374938393999998","0.82231110621000003"
"...129","Pakistan","187.785638562","7.0626924857200004","100.39986405800001"
"...130","Panama","1.47047599611","0.16738954013400001","2.9044298298600002"
"...131","Papua New Guinea","14.282264319299999","0.36109698811500002","5.1797283652899999"
"...132","Paraguay","1.60089856677","0.259566633203","4.77909343385"
"...133","Peru","8.6331316948399994","2.05829996754","25.374459102500001"
"...134","Philippines","58.719182548299997","5.9419420764900002","59.2425350814"
"...135","Poland","2.9054090296999999","0.17724851732399999","98.361258272399994"
"...136","Portugal","2.69167433376","0.27905667585299998","27.621970299200001"
"...137","Qatar","0.027841058023999998","0.000606387626","0.47541247710599999"
"...138","Republic of Korea","7.7442650095000003","0.345396801541","78.878277216599997"
"...139","Republic of Moldova","0.90407337369499996","0.0070444291879999997","6.4995149030799997"
"...140","Romania","2.6445950040400001","0.11876706135200001","47.835411152900001"
"...141","Russian Federation","47.5021115192","0.729237109795","335.355482489"
"...142","Rwanda","19.879336845600001","2.8238770865","6.8395622035199999"
"...143","Saint Lucia","0.042010855228000001","0.0045499289940000003","0.208438021394"
"...144","Saint Vincent and the Grenadines","0.048481715326999998","0.0097691736799999998","0.12697732660700001"
"...145","Samoa","0.029218973959999998","0.0049764057369999998","0.12949427247100001"
"...146","Sao Tome and Principe","0.21822264306200001","0.026667978214999999","0.099600229730999995"
"...147","Saudi Arabia","2.1173498662000001","0.10220900567000001","8.8787216614099993"
"...148","Senegal","22.465136174400001","1.9905572711699999","4.8643321752600004"
"...149","Serbia","0.55628840459200002","0.087300750528000001","23.298141452199999"
"...150","Seychelles","0.017461668848999998","0.0016696114749999999","0.12555703945300001"
"...151","Sierra Leone","36.607683395199999","2.40450336373","2.1158111202700001"
"...152","Singapore","0.27660519348099999","0.00157639379","6.6623816595200003"
"...153","Slovakia","0.38250323063399999","0.0081653623830000004","12.2158449123"
"...154","Slovenia","0.094758359856999999","0.0080889058019999998","5.9646844660099996"
"...155","Solomon Islands","0.30436687373299998","0.017160761771999999","0.319963742489"
"...156","Somalia","49.092712500899999","11.511215461899999","5.2689010529600004"
"...157","South Africa","258.01563738099998","4.1045381123900002","47.9718829985"
"...158","South Sudan","45.485571424200003","3.2326097539099998","6.1733513208400002"
"...159","Spain","5.8698801789299999","0.93101986584800001","106.26461985500001"
"...160","Sri Lanka","4.2057210121999997","0.16744308251600001","17.6169663312"
"...161","Sudan","48.541647550599997","1.19890970632","14.4160594629"
"...162","Suriname","0.24985653007","0.014027091441000001","0.54523293340900003"
"...163","Swaziland","7.8319412832099999","0.17038621036400001","0.68931811502399998"
"...164","Sweden","1.56413809927","0.22003018914799999","22.693128189500001"
"...165","Switzerland","0.63105555563299998","0.112664924532","16.8917557065"
"...166","Syrian Arab Republic","1.8420282243599999","0.14356089163800001","13.972901074599999"
"...167","Tajikistan","3.40009999309","0.20630770879800001","4.1116136043699996"
"...168","Thailand","42.768709821599998","0.71530146790100002","83.102412235499997"
"...169","The former Yugoslav Republic of Macedonia","0.082833387110000004","0.0079519865809999993","3.9398451971899999"
"...170","Timor-Leste","1.4567668056300001","0.055280047845999998","0.75689550453300003"
"...171","Togo","22.882332654900001","1.1232403412","2.6529419611499998"
"...172","Tonga","0.022749372335","0.0048647511830000002","0.113709155792"
"...173","Trinidad and Tobago","0.44854868045099999","0.067547291411999999","1.7782932413899999"
"...174","Tunisia","1.1999435618300001","0.049910967757999997","7.1199411690599996"
"...175","Turkey","5.31995496539","0.66589555140400003","90.439469941499993"
"...176","Turkmenistan","2.4426028553800001","0.027391116377000001","4.1648814385700001"
"...177","Uganda","131.02261027500001","7.8493632913400004","21.679596117900001"
"...178","Ukraine","26.346806458300001","0.12454294368","97.481249887900006"
"...179","United Arab Emirates","0.275106316671","0.031787950831999999","1.1080867089599999"
"...180","United Kingdom","6.0218989479599996","0.370812745547","159.46541340100001"
"...181","United Republic of Tanzania","174.471786264","11.521336169","21.6361465976"
"...182","United States of America","53.070668953400002","5.9462987541499999","582.20741333399997"
"...183","Uruguay","0.82525718312600005","0.16821425996700001","8.1703537249499991"
"...184","Uzbekistan","6.7055373325999996","0.20840697571299999","11.392735824700001"
"...185","Vanuatu","0.110865713105","0.0072746474139999996","0.16325597008000001"
"...186","Venezuela (Bolivarian Republic of)","6.66025013367","0.70170712230499999","23.937877840100001"
"...187","Viet Nam","40.035002283700003","0.20517250684999999","87.121515347699997"
"...188","Yemen","15.3520361305","0.433794194174","8.3764622761599998"
"...189","Zambia","58.708855917299999","4.3181644409100004","6.94776567085"
"...190","Zimbabwe","77.312713822399999","4.7578553697599997","7.7928631933399997"
